电影中文名,电影外文名,导演中文名,导演外文名,主演中文名,主演外文名,评分,评分人数,简介,上映年份,国家,电影类型
爱在黎明破晓前,Before Sunrise,理查德·林克莱特,Richard Linklater,伊桑·霍克,,8.8,726068,缘分是个连绵词，最美不过一瞬。,1995,美国 奥地利 瑞士,剧情 爱情
请以你的名字呼唤我,Call Me by Your Name,卢卡·瓜达尼诺,Luca Guadagnino,艾米·汉莫,,8.8,763607,沉醉在电影的情感和视听氛围中无法自拔。,2017,意大利 法国 巴西 美国,剧情 爱情 同性
第六感,The Sixth Sense,,,布鲁斯·威利斯,,8.9,586554,深入内心的恐怖，出人意料的结局。,1999,美国,剧情 悬疑 惊悚
超能陆战队,Big Hero 6,唐·霍尔,Don Hall,,,8.8,1066973,Balalala~~~,2014,美国,喜剧 动作 科幻 动画 冒险
入殓师,おくりびと,泷田洋二郎,,本木雅弘,,8.9,700044,死可能是一道门，逝去并不是终结，而是超越，走向下一程。,2008,日本,剧情
重庆森林,重慶森林,王家卫,Kar Wai Wong,林青霞,,8.8,855628,寂寞没有期限。,1994,中国香港,剧情 爱情
断背山,Brokeback Mountain,李安,Ang Lee,希斯·莱杰,,8.8,735436,每个人心中都有一座断背山。,2005,美国 加拿大,剧情 爱情 同性 家庭
剪刀手爱德华,Edward Scissorhands,蒂姆·波顿,Tim Burton,约翰尼·德普,,8.7,1070947,浪漫忧郁的成人童话。,1990,美国,剧情 奇幻 爱情
幽灵公主,もののけ姫,宫崎骏,Hayao Miyazaki,松田洋治,,8.9,553199,人与自然的战争史诗。,1997,日本,动画 奇幻 冒险
寄生虫,기생충,奉俊昊,Joon,宋康昊,,8.8,1441129,,2019,韩国,剧情
勇敢的心,Braveheart,梅尔·吉布森,Mel Gibson,梅尔·吉布森,,8.9,576891,史诗大片的典范。,1995,美国,动作 传记 剧情 历史 战争
爱在日落黄昏时,Before Sunset,理查德·林克莱特,Richard Linklater,伊桑·霍克,,8.9,595860,九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。,2004,美国 法国,剧情 爱情
菊次郎的夏天,菊次郎の夏,北野武,Takeshi Kitano,北野武,,8.9,627117,从没见过那么流氓的温柔，从没见过那么温柔的流氓。,1999,日本,剧情 喜剧
借东西的小人阿莉埃蒂,借りぐらしのアリエッティ,米林宏昌,Hiromasa Yonebayashi,志田未来,,8.9,584400,曾经的那段美好会沉淀为一辈子的记忆。,2010,日本,动画 奇幻 冒险
未麻的部屋,Perfect Blue,今敏,Satoshi Kon,岩男润子,,9.1,374372,好的剧本是，就算你猜到了结局也猜不到全部。,1997,日本,剧情 犯罪 动画 悬疑 惊悚
消失的爱人,Gone Girl,大卫·芬奇,David Fincher,本·阿弗莱克,,8.7,1004478,年度最佳date movie。,2014,美国,剧情 犯罪 悬疑 惊悚
无人知晓,誰も知らない,是枝裕和,Hirokazu Koreeda,柳乐优弥,,9.1,341462,我的平常生活就是他人的幸福。,2004,日本,剧情
时空恋旅人,About Time,理查德·柯蒂斯,Richard Curtis,多姆纳尔·格里森,,8.8,719213,把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。,2013,英国 美国,喜剧 爱情 奇幻
阳光灿烂的日子,In the Heat of the Sun,姜文,Wen Jiang,夏雨,,8.8,644232,一场华丽的意淫。,1994,中国大陆 中国香港,剧情 爱情
完美的世界,A Perfect World,克林特·伊斯特伍德,Clint Eastwood,凯文·科斯特纳,,9.1,333337,坏人的好总是比好人的好来得更感人。,1993,美国,剧情 犯罪
倩女幽魂,倩女幽魂(87版),程小东,Siu,张国荣,,8.8,770544,两张绝世的脸。,1987,中国香港,爱情 奇幻 武侠 古装
天使爱美丽,Le Fabuleux destin d'Amélie Poulain,让-皮埃尔·热内,Jean,奥黛丽·塔图,,8.7,980402,法式小清新。,2001,法国 德国,剧情 喜剧 爱情
小森林 夏秋篇,リトル・フォレスト 夏・秋,森淳一,Junichi Mori,桥本爱,,9.0,443938,那些静得只能听见呼吸的日子里，你明白孤独即生活。,2014,日本,剧情
哈利·波特与火焰杯,Harry Potter and the Goblet of Fire,迈克·内威尔,Mike Newell,丹尼尔·雷德克里夫,,8.8,707936,,2005,英国 美国,悬疑 奇幻 冒险
侧耳倾听,耳をすませば,近藤喜文,Yoshifumi Kondo,本名阳子,,8.9,488467,少女情怀总是诗。,1995,日本,剧情 爱情 动画
驯龙高手,How to Train Your Dragon,迪恩·德布洛斯,Dean DeBlois,,,8.8,794007,和谐的生活离不开摸头与被摸头。,2010,美国,动画 奇幻 冒险
茶馆,The Teahouse,谢添,中国大陆,于是之,中国大陆,9.6,169724,,1982,,剧情 历史
幸福终点站,The Terminal,史蒂文·斯皮尔伯格,Steven Spielberg,汤姆·汉克斯,,8.8,600009,有时候幸福需要等一等。,2004,美国,喜剧 剧情 爱情
教父3,The Godfather: Part III,弗朗西斯·福特·科波拉,Francis Ford Coppola,阿尔·帕西诺,,9.0,396712,任何信念的力量，都无法改变命运。,1990,美国,剧情 犯罪
一个叫欧维的男人决定去死,En man som heter Ove,汉内斯·赫尔姆,Hannes Holm,罗夫·拉斯加德,,8.9,515412,惠及一生的美丽。,2015,瑞典,剧情
怪兽电力公司,"Monsters, Inc.",彼特·道格特,Pete Docter,,,8.8,712117,不要给它起名字，起了名字就有感情了。,2001,美国,儿童 喜剧 动画 奇幻 冒险
新世界,신세계,朴勋政,Hoon,李政宰,,8.9,475312,要做就做得狠一点，这样才能活下去。,2013,韩国,剧情 犯罪
傲慢与偏见,Pride & Prejudice,乔·怀特,Joe Wright,凯拉·奈特莉,,8.7,847167,爱是摈弃傲慢与偏见之后的曙光。,2005,法国 英国 美国,剧情 爱情
玩具总动员3,Toy Story 3,李·昂克里奇,Lee Unkrich,汤姆·汉克斯,,8.9,547628,跨度十五年的欢乐与泪水。,2010,美国,喜剧 动画 奇幻 冒险
小森林 冬春篇,リトル・フォレスト 冬・春,森淳一,Junichi Mori,桥本爱,,9.0,395531,尊敬他人，尊敬你生活的这片土地，明白孤独是人生的常态。,2015,日本,剧情
萤火之森,蛍火の杜へ,大森贵弘,Takahiro Omori,佐仓绫音,,8.9,568212,触不到的恋人。,2011,日本,剧情 爱情 动画 奇幻
被解救的姜戈,Django Unchained,昆汀·塔伦蒂诺,Quentin Tarantino,杰米·福克斯,,8.8,641409,热血沸腾，那个低俗、性感的无耻混蛋又来了。,2012,美国,剧情 动作 西部 冒险
釜山行,부산행,延尚昊,Sang,孔侑,,8.6,1258493,揭露人性的丧尸题材力作。,2016,韩国,动作 惊悚 灾难
神偷奶爸,Despicable Me,皮艾尔·柯芬,Pierre Coffin,,,8.7,985051,Mr. I Don't Care其实也有Care的时候。,2010,美国 法国,喜剧 动画 冒险
色，戒,色|戒,李安,Ang Lee,梁朝伟,,8.7,872184,假戏真情，爱欲深海,2007,中国台湾 中国大陆 美国 中国香港,剧情 爱情 情色
九品芝麻官,九品芝麻官之白面包青天,王晶,Jing Wong,周星驰,,8.7,725167,,1994,中国香港 中国大陆,剧情 喜剧 古装
哪吒闹海,Prince Nezha's Triumph Against Dragon King,王树忱,Shuchen Wang,梁正晖,,9.2,274349,想你时你在闹海。,1979,中国大陆,冒险 动画 奇幻
告白,自白,中岛哲也,Tetsuya Nakashima,松隆子,,8.8,698646,没有一人完全善，也没有一人完全恶。,2010,日本,剧情 悬疑
玛丽和马克思,Mary and Max,亚当·艾略特,Adam Elliot,托妮·科莱特,,9.0,434933,你是我最好的朋友，你是我唯一的朋友 。,2009,澳大利亚 美国,剧情 喜剧 动画
喜宴,囍宴,李安,Ang Lee,赵文瑄,,9.0,389058,中国家庭的喜怒哀乐忍。,1993,中国台湾 美国,剧情 喜剧 爱情 同性 家庭
头脑特工队,Inside Out,彼特·道格特,Pete Docter,,,8.8,669260,愿我们都不用长大，每一座城堡都能永远存在。,2015,美国,喜剧 动画 冒险
大鱼,Big Fish,蒂姆·波顿,Tim Burton,伊万·麦克格雷格,,8.8,592126,抱着梦想而活着的人是幸福的，怀抱梦想而死去的人是不朽的。,2003,美国,剧情 家庭 奇幻 冒险
模仿游戏,The Imitation Game,莫滕·泰杜姆,Morten Tyldum,本尼迪克特·康伯巴奇,,8.8,678447,他给机器起名“克里斯托弗”，因为这是他初恋的名字。,2014,英国 美国,剧情 传记 战争 同性
头号玩家,Ready Player One,史蒂文·斯皮尔伯格,Steven Spielberg,泰伊·谢里丹,,8.6,1424736,写给影迷，动漫迷和游戏迷的一封情书。,2018,美国,动作 科幻 冒险
花样年华,花樣年華,王家卫,Kar Wai Wong,梁朝伟,,8.8,649070,偷情本没有这样美。,2000,中国香港,剧情 爱情
射雕英雄传之东成西就,射鵰英雄傳之東成西就,刘镇伟,Jeffrey Lau,梁朝伟,,8.7,670470,百看不厌。,1993,中国香港,喜剧 奇幻 武侠 古装
七武士,七人の侍,黑泽明,Akira Kurosawa,三船敏郎,,9.3,210284,时代悲歌。,1954,日本,动作 冒险 剧情
我是山姆,I Am Sam,杰茜·尼尔森,Jessie Nelson,,,9.0,353748,爱并不需要智商 。,2001,美国,剧情 家庭
血战钢锯岭,Hacksaw Ridge,梅尔·吉布森,Mel Gibson,安德鲁·加菲尔德,,8.7,812356,优秀的战争片不会美化战场，不会粉饰死亡，不会矮化敌人，不会无视常识，最重要的，不会宣扬战争。,2016,澳大利亚 美国,剧情 传记 历史 战争
惊魂记,Psycho,阿尔弗雷德·希区柯克,Alfred Hitchcock,安东尼·博金斯,,9.0,318859,故事的反转与反转，分裂电影的始祖。,1960,美国,悬疑 惊悚 恐怖
阳光姐妹淘,써니,姜炯哲,Hyeong,沈恩京,,8.8,608269,再多各自牛逼的时光，也比不上一起傻逼的岁月。,2011,韩国,剧情 喜剧
恐怖直播,더 테러 라이브,金秉祐,Byeong,河正宇,,8.7,684206,恐怖分子的“秋菊打官司”。,2013,韩国,剧情 犯罪 悬疑
黑客帝国3：矩阵革命,The Matrix Revolutions,拉娜·沃卓斯基,Lana Wachowski,,,8.8,466693,不得不说，《黑客帝国》系列是商业片与科幻、哲学完美结合的典范。,2003,美国,动作 科幻
你的名字。,君の名は。,新海诚,Makoto Shinkai,神木隆之介,,8.5,1474471,穿越错位的时空，仰望陨落的星辰，你没留下你的名字，我却无法忘记那句“我爱你”。,2016,日本,剧情 爱情 动画
三块广告牌,"Three Billboards Outside Ebbing, Missouri",马丁·麦克唐纳,Martin McDonagh,弗兰西斯·麦克多蒙德,,8.7,860189,怼天怼地，你走后，她与世界为敌。,2017,英国 美国,剧情 犯罪
电锯惊魂,Saw,詹姆斯·温,James Wan,雷·沃纳尔,,8.7,565089,真相就在眼前。,2004,美国,悬疑 惊悚 恐怖
心迷宫,殡棺,忻钰坤,Yukun Xin,霍卫民,,8.8,560322,荒诞讽刺，千奇百巧，抽丝剥茧，百转千回。,2014,中国大陆,剧情 犯罪 悬疑
